n,array_type,algorithm,threshold,time_us
15500,random,hybrid,20,705
15500,random,hybrid,30,596
15500,random,hybrid,50,569
15500,reversed,merge,0,1008
15500,reversed,hybrid,5,892
15500,reversed,hybrid,10,823
15500,reversed,hybrid,20,832
15500,reversed,hybrid,30,990
15500,reversed,hybrid,50,1018
15500,almost,merge,0,1159
15500,almost,hybrid,5,1450
15500,almost,hybrid,10,1600
15500,almost,hybrid,20,1013
15500,almost,hybrid,30,910
15500,almost,hybrid,50,826
16500,random,merge,0,1110
16500,random,hybrid,5,879
16500,random,hybrid,10,789
16500,random,hybrid,20,747
16500,random,hybrid,30,702
16500,random,hybrid,50,626
16500,reversed,merge,0,1191
16500,reversed,hybrid,5,962
16500,reversed,hybrid,10,875
16500,reversed,hybrid,20,889
16500,reversed,hybrid,30,913
16500,reversed,hybrid,50,1116
16500,almost,merge,0,1339
16500,almost,hybrid,5,1108
16500,almost,hybrid,10,1036
16500,almost,hybrid,20,941
16500,almost,hybrid,30,933
16500,almost,hybrid,50,877
17500,random,merge,0,1161
17500,random,hybrid,5,939
17500,random,hybrid,10,842
17500,random,hybrid,20,741
17500,random,hybrid,30,749
17500,random,hybrid,50,678
17500,reversed,merge,0,1222
17500,reversed,hybrid,5,1000
17500,reversed,hybrid,10,941
17500,reversed,hybrid,20,983
17500,reversed,hybrid,30,962
17500,reversed,hybrid,50,1212
17500,almost,merge,0,1345
17500,almost,hybrid,5,1149
17500,almost,hybrid,10,1077
17500,almost,hybrid,20,992
17500,almost,hybrid,30,1005
17500,almost,hybrid,50,954
18500,random,merge,0,1220
18500,random,hybrid,5,956
18500,random,hybrid,10,887
18500,random,hybrid,20,779
18500,random,hybrid,30,773
18500,random,hybrid,50,702
18500,reversed,merge,0,1297
18500,reversed,hybrid,5,1076
18500,reversed,hybrid,10,1056
18500,reversed,hybrid,20,1049
18500,reversed,hybrid,30,1053
18500,reversed,hybrid,50,1323
18500,almost,merge,0,1408
18500,almost,hybrid,5,1292
18500,almost,hybrid,10,1166
18500,almost,hybrid,20,1070
18500,almost,hybrid,30,1045
18500,almost,hybrid,50,1142
19500,random,merge,0,1312
19500,random,hybrid,5,1014
19500,random,hybrid,10,918
19500,random,hybrid,20,818
19500,random,hybrid,30,808
19500,random,hybrid,50,717
19500,reversed,merge,0,1325
19500,reversed,hybrid,5,1109
19500,reversed,hybrid,10,1067
19500,reversed,hybrid,20,1111
19500,reversed,hybrid,30,1084
19500,reversed,hybrid,50,1400
19500,almost,merge,0,1512
19500,almost,hybrid,5,1285
19500,almost,hybrid,10,1189
19500,almost,hybrid,20,1089
19500,almost,hybrid,30,1092
19500,almost,hybrid,50,1053
20500,random,merge,0,1412
20500,random,hybrid,5,1075
20500,random,hybrid,10,984
20500,random,hybrid,20,857
20500,random,hybrid,30,844
20500,random,hybrid,50,757
20500,reversed,merge,0,1440
20500,reversed,hybrid,5,1150
20500,reversed,hybrid,10,1094
20500,reversed,hybrid,20,1168
20500,reversed,hybrid,30,1178
20500,reversed,hybrid,50,1521
20500,almost,merge,0,1983
20500,almost,hybrid,5,1346
20500,almost,hybrid,10,1259
20500,almost,hybrid,20,1190
20500,almost,hybrid,30,1163
20500,almost,hybrid,50,1095
21500,random,merge,0,1505
21500,random,hybrid,5,1246
21500,random,hybrid,10,1491
21500,random,hybrid,20,1018
21500,random,hybrid,30,885
21500,random,hybrid,50,790
21500,reversed,merge,0,1723
21500,reversed,hybrid,5,2124
21500,reversed,hybrid,10,2056
21500,reversed,hybrid,20,1164
21500,reversed,hybrid,30,1240
21500,reversed,hybrid,50,1675
21500,almost,merge,0,1685
21500,almost,hybrid,5,1443
21500,almost,hybrid,10,1379
21500,almost,hybrid,20,1311
21500,almost,hybrid,30,1237
21500,almost,hybrid,50,1170
22500,random,merge,0,1501
22500,random,hybrid,5,1216
22500,random,hybrid,10,1175
22500,random,hybrid,20,1089
22500,random,hybrid,30,928
22500,random,hybrid,50,818
22500,reversed,merge,0,1546
22500,reversed,hybrid,5,1293
22500,reversed,hybrid,10,1236
22500,reversed,hybrid,20,1204
22500,reversed,hybrid,30,1309
22500,reversed,hybrid,50,1762
22500,almost,merge,0,1767
22500,almost,hybrid,5,1579
22500,almost,hybrid,10,1525
22500,almost,hybrid,20,1371
22500,almost,hybrid,30,1285
22500,almost,hybrid,50,1265
23500,random,merge,0,1617
23500,random,hybrid,5,1359
23500,random,hybrid,10,1206
23500,random,hybrid,20,1099
23500,random,hybrid,30,975
23500,random,hybrid,50,938
23500,reversed,merge,0,1660
23500,reversed,hybrid,5,1402
23500,reversed,hybrid,10,1315
23500,reversed,hybrid,20,1261
23500,reversed,hybrid,30,1390
23500,reversed,hybrid,50,1894
23500,almost,merge,0,1876
23500,almost,hybrid,5,1647
23500,almost,hybrid,10,1584
23500,almost,hybrid,20,1462
23500,almost,hybrid,30,1357
23500,almost,hybrid,50,1298
24500,random,merge,0,1760
24500,random,hybrid,5,1386
24500,random,hybrid,10,1278
24500,random,hybrid,20,1143
24500,random,hybrid,30,1009
24500,random,hybrid,50,926
24500,reversed,merge,0,1768
24500,reversed,hybrid,5,1485
24500,reversed,hybrid,10,1362
24500,reversed,hybrid,20,1409
24500,reversed,hybrid,30,1516
24500,reversed,hybrid,50,2167
24500,almost,merge,0,2046
24500,almost,hybrid,5,1782
24500,almost,hybrid,10,1667
24500,almost,hybrid,20,1517
24500,almost,hybrid,30,1463
24500,almost,hybrid,50,1352
25500,random,merge,0,1769
25500,random,hybrid,5,1457
25500,random,hybrid,10,1368
25500,random,hybrid,20,1191
25500,random,hybrid,30,1045
25500,random,hybrid,50,947
25500,reversed,merge,0,1867
25500,reversed,hybrid,5,1552
25500,reversed,hybrid,10,1477
25500,reversed,hybrid,20,1452
25500,reversed,hybrid,30,1589
25500,reversed,hybrid,50,2217
25500,almost,merge,0,2160
25500,almost,hybrid,5,1907
25500,almost,hybrid,10,1728
25500,almost,hybrid,20,1561
25500,almost,hybrid,30,1483
25500,almost,hybrid,50,1398
26500,random,merge,0,1841
26500,random,hybrid,5,1508
26500,random,hybrid,10,1496
26500,random,hybrid,20,1308
26500,random,hybrid,30,1123
26500,random,hybrid,50,1119
26500,reversed,merge,0,1884
26500,reversed,hybrid,5,1650
26500,reversed,hybrid,10,1567
26500,reversed,hybrid,20,1481
26500,reversed,hybrid,30,1827
