n,array_type,algorithm,time_us
61500,almost,intro,2839
62500,random,quick,6398
62500,random,intro,5679
62500,reversed,quick,3057
62500,reversed,intro,1744
62500,almost,quick,4062
62500,almost,intro,2872
63500,random,quick,6333
63500,random,intro,5218
63500,reversed,quick,3104
63500,reversed,intro,1790
63500,almost,quick,4233
63500,almost,intro,2933
64500,random,quick,6336
64500,random,intro,5424
64500,reversed,quick,3144
64500,reversed,intro,1925
64500,almost,quick,4228
64500,almost,intro,3083
65500,random,quick,6779
65500,random,intro,5493
65500,reversed,quick,3150
65500,reversed,intro,1794
65500,almost,quick,4433
65500,almost,intro,3045
66500,random,quick,6732
66500,random,intro,5595
66500,reversed,quick,3282
66500,reversed,intro,1840
66500,almost,quick,4419
66500,almost,intro,3166
67500,random,quick,6767
67500,random,intro,5844
67500,reversed,quick,3326
67500,reversed,intro,2052
67500,almost,quick,4452
67500,almost,intro,3181
68500,random,quick,6819
68500,random,intro,5816
68500,reversed,quick,3316
68500,reversed,intro,2000
68500,almost,quick,4498
68500,almost,intro,3235
69500,random,quick,6881
69500,random,intro,5791
69500,reversed,quick,3354
69500,reversed,intro,1902
69500,almost,quick,4700
69500,almost,intro,3222
70500,random,quick,6931
70500,random,intro,5913
70500,reversed,quick,3396
70500,reversed,intro,2042
70500,almost,quick,4882
70500,almost,intro,3403
71500,random,quick,7248
71500,random,intro,6055
71500,reversed,quick,3584
71500,reversed,intro,2016
71500,almost,quick,5104
71500,almost,intro,3491
72500,random,quick,7218
72500,random,intro,6116
72500,reversed,quick,3504
72500,reversed,intro,2136
72500,almost,quick,4848
72500,almost,intro,3513
73500,random,quick,7424
73500,random,intro,6193
73500,reversed,quick,3669
73500,reversed,intro,2055
73500,almost,quick,4808
73500,almost,intro,3405
74500,random,quick,7361
74500,random,intro,6159
74500,reversed,quick,3657
74500,reversed,intro,2131
74500,almost,quick,4924
74500,almost,intro,3523
75500,random,quick,7532
75500,random,intro,6292
75500,reversed,quick,3669
75500,reversed,intro,2175
